Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2023,vJ9oM5an,2023-05-27,18:00,ARGENTINA - LIGA PROFISSIONAL,Platense,Belgrano,RODADA 18,1,0,bet365,2.3,3.0,3.6,bet365,1.62,2.2,bet365,1.13,6.0,bet365,1.62,2.2,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57
2023,AZ1GFgjt,2023-05-27,18:30,BRASIL - SÉRIE A,Cuiabá,Coritiba,RODADA 8,1,1,bet365,1.8,3.4,4.2,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62
2023,U1ytIRfs,2023-05-27,18:30,BRASIL - SÉRIE A,Flamengo,Cruzeiro,RODADA 8,1,1,bet365,1.7,3.75,5.0,bet365,1.36,3.0,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.95
2023,f7s1CnJB,2023-05-27,19:00,BRASIL - SÉRIE C,Náutico,América-RN,PRIMEIRA FASE ,0,0,Betano.br,1.7,3.55,4.85,Betano.br,1.45,2.55,Betano.br,1.07,6.8,Betano.br,1.35,2.95,Betano.br,2.02,1.7,Betano.br,3.45,1.27,Betano.br,6.0,1.1,Betano.br,1.98,1.75
2023,8b12INbB,2023-05-27,20:30,ARGENTINA - LIGA PROFISSIONAL,Independiente,Lanús,RODADA 18,1,1,bet365,2.7,3.0,2.8,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67
2023,2FZmG5Pg,2023-05-27,21:00,BRASIL - SÉRIE A,São Paulo,Goiás,RODADA 8,2,1,bet365,1.53,3.8,7.5,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.02,1.82,bet365,3.4,1.3,bet365,7.0,1.1,bet365,2.0,1.75
2023,INNyHYqe,2023-05-28,11:00,BRASIL - SÉRIE B,Ponte Preta,Vila Nova,RODADA 9,1,0,Betano.br,2.5,2.92,3.0,Betano.br,1.55,2.3,Betano.br,1.1,5.8,Betano.br,1.45,2.55,Betano.br,2.32,1.55,Betano.br,4.05,1.2,Betano.br,7.1,1.06,Betano.br,1.93,1.78
2023,zosP44UB,2023-05-28,14:00,ARGENTINA - LIGA PROFISSIONAL,Barracas Central,San Lorenzo,RODADA 18,1,0,bet365,3.75,3.0,2.25,bet365,1.62,2.2,bet365,1.13,6.0,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57
2023,2BcuyfyR,2023-05-28,15:30,BRASIL - SÉRIE B,Ceará,Novorizontino,RODADA 9,0,3,Betano.br,1.91,3.15,4.2,Betano.br,1.53,2.35,Betano.br,1.1,6.0,Betano.br,1.42,2.65,Betano.br,2.25,1.57,Betano.br,3.9,1.21,Betano.br,6.8,1.07,Betano.br,2.0,1.72
2023,td9WxG6E,2023-05-28,15:30,BRASIL - SÉRIE B,Mirassol,Criciúma,RODADA 9,1,0,Betano.br,1.93,3.2,4.0,Betano.br,1.52,2.42,Betano.br,1.07,7.2,Betano.br,1.4,2.77,Betano.br,2.25,1.6,Betano.br,4.1,1.21,Betano.br,8.0,1.06,Betano.br,1.98,1.75
2023,00hiFPv0,2023-05-28,16:00,BRASIL - SÉRIE A,Corinthians,Fluminense,RODADA 8,2,0,bet365,2.63,3.2,2.7,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.3,1.6,bet365,4.33,1.2,bet365,10.0,1.06,bet365,1.95,1.8
2023,jko4CNOI,2023-05-28,16:00,BRASIL - SÉRIE A,Internacional,Bahia,RODADA 8,2,0,bet365,2.05,3.6,3.5,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.95
2023,EefZgv3p,2023-05-28,16:30,BRASIL - SÉRIE C,CSA,São Bernardo,PRIMEIRA FASE ,1,0,Betano.br,2.4,2.95,3.1,Betano.br,1.55,2.3,Betano.br,1.1,5.8,Betano.br,1.45,2.55,Betano.br,2.32,1.55,Betano.br,4.1,1.2,Betano.br,7.1,1.06,Betano.br,1.95,1.75
2023,4z0OG1Ac,2023-05-28,16:30,BRASIL - SÉRIE C,Figueirense,Botafogo-PB,PRIMEIRA FASE ,1,2,Betano.br,1.83,3.1,4.75,Betano.br,1.57,2.25,Betano.br,1.11,5.6,Betano.br,1.47,2.5,Betano.br,2.37,1.52,Betano.br,4.25,1.18,Betano.br,7.4,1.06,Betano.br,2.12,1.65
2023,0hvy22EU,2023-05-28,16:30,ARGENTINA - LIGA PROFISSIONAL,Defensa y Justicia,Racing Club,RODADA 18,1,1,bet365,2.2,3.5,3.2,bet365,1.44,2.63,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,8.0,1.08,bet365,1.91,1.91
2023,Yu9kLPEh,2023-05-28,16:30,ARGENTINA - LIGA PROFISSIONAL,Talleres Córdoba,Argentinos Juniors,RODADA 18,1,0,bet365,2.25,3.25,3.25,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.3,1.6,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.75
2023,OKbyxzMK,2023-05-28,18:00,BRASIL - SÉRIE B,Sport,ABC,RODADA 9,4,1,Betano.br,1.4,4.2,7.8,Betano.br,1.42,2.65,Betano.br,1.06,7.2,Betano.br,1.31,3.15,Betano.br,1.9,1.8,Betano.br,3.15,1.31,Betano.br,5.4,1.12,Betano.br,2.18,1.6
2023,CpqBVXbl,2023-05-28,18:15,BRASIL - SÉRIE B,Tombense,Guarani,RODADA 9,1,1,Betano.br,2.15,3.0,3.5,Betano.br,1.53,2.35,Betano.br,1.09,6.0,Betano.br,1.42,2.67,Betano.br,2.22,1.6,Betano.br,3.85,1.22,Betano.br,6.7,1.07,Betano.br,1.91,1.8
2023,MFt0D39C,2023-05-28,18:30,BRASIL - SÉRIE A,Atlético-MG,Palmeiras,RODADA 8,1,1,bet365,2.2,3.3,3.4,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.95,1.8
2023,rPsdEqf6,2023-05-28,18:30,BRASIL - SÉRIE A,Red Bull Bragantino,Santos,RODADA 8,2,0,bet365,1.75,3.4,5.0,bet365,1.5,2.5,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.1,1.67
2023,8hzpHoAm,2023-05-28,19:00,BRASIL - SÉRIE A,Botafogo,América-MG,RODADA 8,2,0,bet365,1.73,3.75,5.0,bet365,1.4,2.75,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.95,1.8
2023,QXxcDS35,2023-05-28,19:00,BRASIL - SÉRIE C,Operário,Pouso Alegre,PRIMEIRA FASE ,1,0,Betano.br,1.82,3.35,4.4,Betano.br,1.52,2.37,Betano.br,1.09,6.1,Betano.br,1.42,2.65,Betano.br,2.25,1.57,Betano.br,3.95,1.21,Betano.br,6.9,1.07,Betano.br,2.1,1.65
2023,Yct5B6YH,2023-05-28,19:00,BRASIL - SÉRIE C,Volta Redonda,Paysandu,PRIMEIRA FASE ,3,0,Betano.br,1.85,3.35,4.15,Betano.br,1.47,2.5,Betano.br,1.08,6.6,Betano.br,1.37,2.87,Betano.br,2.05,1.7,Betano.br,3.55,1.26,Betano.br,6.2,1.09,Betano.br,1.93,1.78
